Date,Category,Open,High,Low,Close,Adj Close,Volume
25-10-2019,TCS,2094,2130,2075.050049,2124.949951,2034.402344,3954245
27-10-2019,TCS,2129,2129,2108.800049,2115.699951,2025.546753,224405
29-10-2019,TCS,2121.5,2201.699951,2121.5,2194.850098,2101.324219,5064173
30-10-2019,TCS,2225,2260,2176.850098,2252.800049,2156.804688,5195136
31-10-2019,TCS,2250,2284.949951,2237,2269.649902,2172.936768,4879261
01-11-2019,TCS,2264,2275,2195,2200.899902,2107.116455,4172620
04-11-2019,TCS,2207,2229.199951,2180.899902,2193.949951,2100.462158,2646411
05-11-2019,TCS,2197,2211,2169,2201.850098,2108.025391,2693475
06-11-2019,TCS,2200,2210.800049,2179,2188.5,2095.244141,2540719
07-11-2019,TCS,2204.5,2204.5,2175.199951,2185.350098,2092.228516,1915598
08-11-2019,TCS,2189.600098,2189.600098,2124,2129.949951,2039.189209,2788759
11-11-2019,TCS,2135,2139,2091,2100.949951,2011.425049,2983768
13-11-2019,TCS,2118,2183.800049,2118,2178.600098,2085.766357,3823365
14-11-2019,TCS,2187.5,2200,2146.699951,2196.800049,2103.190674,2995915
15-11-2019,TCS,2196,2211.5,2168.75,2174.449951,2081.792725,2724180
18-11-2019,TCS,2178.399902,2187.75,2148.75,2152.600098,2060.874756,1611089
19-11-2019,TCS,2153,2154.649902,2105,2108.800049,2018.941162,2975313
20-11-2019,TCS,2121.949951,2135,2094.5,2108.550049,2018.70166,2894129
21-11-2019,TCS,2112,2126.600098,2107.399902,2118.100098,2027.844604,2052574
22-11-2019,TCS,2097,2107,2060.5,2071.699951,1983.421509,3742049
25-11-2019,TCS,2074.550049,2084.949951,2052.199951,2081.5,1992.803955,2737010
26-11-2019,TCS,2089.850098,2097.899902,2035.050049,2046.650024,1959.439087,6561580
27-11-2019,TCS,2052,2071.699951,2046.550049,2054.300049,1966.763062,2907521
28-11-2019,TCS,2067.050049,2094.399902,2060,2077.350098,1988.831055,2924429
29-11-2019,TCS,2085,2085,2045.800049,2053.25,1965.757813,2064271
02-12-2019,TCS,2060,2067.699951,2016,2021.050049,1934.92981,3809860
03-12-2019,TCS,2027.699951,2062,2010,2051,1963.603516,4664774
04-12-2019,TCS,2053,2082,2045.5,2078.5,1989.932007,3334301
05-12-2019,TCS,2083,2126.800049,2068.350098,2121.300049,2030.907593,3902721
06-12-2019,TCS,2124,2128,2101,2123.600098,2033.109863,1829461
09-12-2019,TCS,2127.949951,2127.949951,2053.5,2060.449951,1972.651001,2244747
10-12-2019,TCS,2060,2060.850098,2003.25,2012.849976,1927.079346,4520045
11-12-2019,TCS,2025.400024,2048,2006.75,2041.900024,1954.891235,4943024
12-12-2019,TCS,2051.100098,2083.649902,1984,2020.900024,1934.786499,7137306
13-12-2019,TCS,2023,2077.399902,2007,2071.25,1982.990601,5711133
16-12-2019,TCS,2096,2136,2080.300049,2126.75,2036.126099,5574177
17-12-2019,TCS,2126.5,2169,2119,2164.949951,2072.698242,6059673
18-12-2019,TCS,2174,2203.449951,2153,2167.75,2075.378418,8251081
19-12-2019,TCS,2179.800049,2236.5,2167.550049,2229.050049,2134.066895,6251505
20-12-2019,TCS,2220,2246.699951,2208.25,2222.899902,2128.178467,5548338
23-12-2019,TCS,2210,2241.949951,2210,2231.699951,2136.60376,2247329
24-12-2019,TCS,2239,2243.550049,2211.149902,2215.600098,2121.19043,1805896
26-12-2019,TCS,2216.399902,2229,2195.199951,2201.949951,2108.121582,1880367
27-12-2019,TCS,2208,2226.399902,2176,2198.5,2104.818848,2720261
30-12-2019,TCS,2207,2225,2177.100098,2183.199951,2090.169922,2288830
31-12-2019,TCS,2189,2197,2157.449951,2161.699951,2069.58667,1909289
01-01-2020,TCS,2168,2183.899902,2154,2167.600098,2075.235352,1354908
02-01-2020,TCS,2179.949951,2179.949951,2149.199951,2157.649902,2065.708984,2380752
03-01-2020,TCS,2164,2223,2164,2200.649902,2106.876465,4655761
06-01-2020,TCS,2205,2225.949951,2187.899902,2200.449951,2106.685303,3023209
07-01-2020,TCS,2200.5,2214.649902,2183.800049,2205.850098,2111.855469,2429317
08-01-2020,TCS,2205,2260,2202.050049,2255.25,2159.150146,5197454
09-01-2020,TCS,2248.75,2251.949951,2210,2214.350098,2119.993408,3734173
10-01-2020,TCS,2228,2234,2208,2213.550049,2119.227295,1915807
13-01-2020,TCS,2217.850098,2218.949951,2184.699951,2190.350098,2097.015869,2843893
14-01-2020,TCS,2195,2229.800049,2195,2206.899902,2112.860352,2948452
15-01-2020,TCS,2213,2231,2194.199951,2226.899902,2132.008301,2620681
